field,alias,format,public_role
zcta,ZIP Code Tabulation Area,text,identity
place_name,Community or city,text,identity
POP100,2020 population,"integer, comma-separated",indicator
forecast_date,Forecast issued,date,provenance
heat_risk,Peak 7-day CalHeatScore,0 decimals,response
heat_days_ge_3,Days at CalHeatScore 3+,integer,response
svi_pct,Social vulnerability percentile,"0-100, 1 decimal",both
chronic_pct,Chronic susceptibility percentile,"0-100, 1 decimal",response
historical_heat_er,Historical excess-ER heat score,1 decimal,investment
vegetation_shade_pct,Vegetation shade at 3 p.m.,percent with 1 decimal,investment
response_index,Short-term response index,"0-100, 1 decimal",response_secondary
response_category,Short-term snapshot category,unique-value renderer,response
response_priority,Met short-term response rule,hidden 0/1 filter,response
investment_category,Long-term investment category,unique-value renderer,investment
investment_priority,Long-term investment priority,hidden 0/1 filter,investment
dist_m,Nearest listed center distance,metres; context only,legacy
draft_score,Legacy four-pillar draft score,hidden during migration,legacy
